Data,F1,F2,F3,F4 ,F5,F6,F7,F8
5/1974,-0.315349789,-0.793120016,-0.01379016,-0.272509839,-0.400925416,0.416026688,0.080376076,-0.290264252
6/1974,0.098862271,-0.596490169,-0.692620022,-0.173336538,-0.361114721,0.369133747,-0.107965066,-0.020848027
7/1974,0.044072466,-1.010999035,-0.421898165,-0.450616594,-0.476411612,0.350917391,0.232991,0.028891211
8/1974,0.206454887,-0.821151711,-0.148317389,-0.551945434,-0.173224146,0.214467299,-0.001194822,-0.086125189
9/1974,0.469450213,-0.519519652,-0.711699118,-0.282864208,-0.459093617,0.15203536,0.54167956,0.051416017
10/1974,0.655553172,-0.352223788,-0.34773269,0.168007505,-0.441714967,0.198033258,0.040612037,0.090454414
11/1974,1.411319127,-0.635792458,-0.315200407,0.036654154,-0.014076684,-0.157158161,-0.23783973,-0.016288837
12/1974,1.862035004,-0.507963216,-0.537822813,-0.122508527,0.321220246,-0.249244683,0.208370393,-0.12382493
1/1975,1.417973581,-0.129235041,-0.05026164,0.242018718,0.164678929,0.272348366,-0.302416406,0.066938503
2/1975,1.462340545,0.069739667,0.012848715,0.335428181,0.233267591,0.158717235,-0.428170938,0.017499448
3/1975,1.0723671,0.160841389,0.062759118,-0.031489474,0.316966748,0.175365799,0.038211969,-0.069134774
4/1975,0.445123633,0.283420774,0.304652003,-0.312867007,0.465161909,0.559316167,0.071198663,0.213614781
5/1975,0.334236813,0.373011825,0.144102054,0.300461064,0.134177039,0.24584896,-0.183757937,0.335355824
6/1975,0.199942789,0.256041018,0.435066363,0.015790325,0.069380818,0.46114771,0.082717524,-0.131287672
7/1975,-0.326134352,0.138308521,0.392383778,-0.294622312,0.316445943,0.47070186,0.011976179,0.454024362
8/1975,-0.353733873,0.440960293,-0.224177129,-0.28937521,0.121856763,0.070416182,0.152945755,0.175275044
9/1975,-0.263224643,0.211096774,0.289167998,-0.102971184,-0.006122151,0.178818687,0.245237605,0.046131108
10/1975,-0.104057595,0.251007091,0.084798889,0.291266699,-0.11532795,-0.103559194,-0.120500197,0.244963653
11/1975,0.040424347,0.270895633,0.179530686,0.19463678,0.025513625,-0.026621332,0.061748988,-0.016588901
12/1975,-0.365211167,0.392927676,0.061678895,0.005627894,0.033367895,0.078711261,0.104919912,0.221138899
1/1976,-0.51398735,0.438623631,0.170063018,0.474560132,-0.260855082,0.101627912,-0.266056033,0.156344706
2/1976,-0.477926661,0.357828877,0.048525193,0.167005461,-0.066103116,-0.147621948,-0.095677074,-0.008655615
3/1976,-0.183802993,0.139807964,0.092057424,-0.016784235,0.094292552,-0.208535144,-0.05579105,0.095493406
4/1976,-0.243227431,0.103872778,0.103517368,0.177018196,-0.103320951,-0.207147419,0.040101407,0.301260556
5/1976,-0.211218695,0.025433637,0.150104017,-0.238098133,0.160002572,-0.076655744,0.134476829,-0.228266074
6/1976,0.00707209,0.002516229,0.06977019,-0.100819646,0.169574977,-0.011560522,-0.072045636,0.023325094
7/1976,-0.156547255,0.086568755,0.056586632,0.164849202,-0.077025244,-0.027849885,0.05221769,-0.031794593
8/1976,-0.09763004,0.129524048,0.011999112,0.127692306,0.011452461,-0.038775012,0.228381511,0.0094629
9/1976,-0.164109144,-0.038651911,0.051902815,0.174511724,-0.006044198,-0.152790411,-0.038443849,0.054919417
10/1976,0.10232196,0.025812718,-0.111832267,0.140566732,0.108113622,-0.07754588,0.298725258,0.219437084
11/1976,-0.397878186,0.216090059,-0.02457699,0.18279953,-0.045145657,0.297312178,0.263769313,0.006552512
12/1976,-0.33974414,0.125404247,0.132911518,0.3598432,-0.060412043,0.188925273,0.048882041,0.102260724
1/1977,-0.143749212,-0.075874813,-0.014823634,-0.070418634,0.168150686,-0.298753096,0.018249549,-0.033179414
2/1977,-0.516695001,-0.062902805,0.217856553,0.027872931,0.059064861,0.093426101,0.319506074,0.240225436
3/1977,-0.649835426,0.241513292,-0.206926828,0.163881433,0.082568396,-0.064681799,0.000531879,0.007097892
4/1977,-0.475366429,0.003370514,0.00771215,0.175195788,-0.029490878,-0.129543895,0.19919472,0.010336784
5/1977,-0.509017563,0.014671201,-0.157415781,-0.009776799,0.154518064,-0.099100539,-0.028625822,0.019489955
6/1977,-0.438862384,-0.050126706,-0.060850252,0.201409642,-0.006337535,-0.009791697,0.113266024,0.04164018
7/1977,-0.309636776,-0.069254776,-0.024565794,0.19749504,0.156867971,-0.16787243,0.001330834,0.024115284
8/1977,-0.275052188,-0.157432461,-0.148566685,0.031923894,0.214487014,-0.138750737,0.090358168,0.079343235
9/1977,-0.363984347,-0.147690952,-0.148150953,0.094874258,0.05383436,-0.071589511,0.04547222,0.042259226
10/1977,-0.403934038,-0.143514945,-0.065755058,0.022518355,0.220380228,-0.040225726,0.106309777,0.077173087
11/1977,-0.338710278,-0.268686768,0.075663384,0.25273539,0.064160657,-0.134093283,0.019328931,0.025115285
12/1977,-0.533836501,-0.008241315,-0.163302519,0.178862134,0.011466301,-0.056009323,0.016779333,-0.196405869
1/1978,0.129721538,-0.459579471,-0.186382172,-0.102841508,0.276462435,-0.649792572,0.133854453,-0.073367505
2/1978,-0.463247306,-0.056225298,-0.068187543,0.100945387,0.041742276,0.102276248,0.018443663,0.137668045
3/1978,-0.720077472,-0.049032432,0.067170496,0.199671672,-0.087387184,0.258189695,0.237796008,0.118141297
4/1978,-0.871365964,-0.042965645,0.09165268,0.277544958,0.002285338,0.154467761,-0.136714271,0.052290306
5/1978,-0.417237946,-0.24110743,-0.107850567,0.070075767,0.12640782,-0.162788624,-0.28005046,0.105000379
6/1978,-0.638488055,-0.228664383,-0.07818951,0.106938756,0.051817352,-0.086725029,0.000883274,-0.073287417
7/1978,-0.217303166,-0.26511452,-0.281287838,0.06017146,0.119235942,-0.270610492,0.0231574,-0.268218013
8/1978,-0.426545022,-0.116957319,-0.093824917,0.392692619,-0.13335693,-0.090693089,-0.244638774,-0.220764923
